id,cons,vmax,blank,vmin,spect,vart,component,rah,ram,ras,decd,decm,decs,epoch,d,zero,period,e0_hjd,phase_secondary
RT,And,8.97,-,9.83,EA/RS,F8V+K1,ALL,23,11,10.1,53,1,33.0,2000,0.1,0,0.6289292,2452500.3476,0.5
SY,And,10.7,-,12.2,EA,A0+K1,PRI,0,13,16.4,43,42,41.4,2000,2.1,0,34.90892,2452530.72,0.5
TT,And,11.5,-,13.1,EA,A,PRI,23,13,22.9,46,8,51.1,2000,0.2,0,2.765096,2452501.121,0.5
TW,And,8.98,-,11.04,EA,F0V+K0,PRI,0,3,18.2,32,50,45.1,2000,0.5,0,4.1227286,2452501.8802,0.5
UU,And,11.2,-,14.2,EA,A8IV/V,PRI,0,43,45.1,30,56,19.6,2000,0.3,0,1.486324,2452500.289,0.5
WW,And,10.92,-,0.67,EA,A5+F3p,ALL,23,44,53.5,45,41,11.5,2000,1.2,0,23.28525,2452501.244,0.5
WX,And,12.1,-,13.8,EA,F5IV,PRI,0,45,37.3,28,45,0.2,2000,0.4,0,3.001186,2452502.38,0.5
WZ,And,11.16,-,12.0,EB,F5,PRI,1,1,43.6,38,5,47.0,2000,0.0,0,0.6956635,2452500.238,0.5
XZ,And,9.91,-,12.45,EA,A1V,PRI,1,56,51.5,42,6,2.2,2000,0.2,0,1.3573027,2452500.474,0.5
AA,And,10.3,-,11.2,EB,B8V,PRI,23,5,22.8,47,40,34.7,2000,0.0,0,0.9350964,2452500.729,0.5
AB,And,9.49,-,10.46,EW,G5+G5V,ALL,23,11,32.1,36,53,35.1,2000,0.0,0,0.3318895,2452500.074,0.5
AD,And,11.2,-,0.62,EB,A0V,ALL,23,36,45.0,48,40,15.6,2000,0.0,0,0.986182,2452500.55,0.5
AM,And,12.5,-,13.7,EA,,PRI,0,5,7.5,48,27,5.4,2000,0.7,0,8.850546,2452504.11,0.5
AN,And,5.96,-,6.11,EB,A7mIII-IV,ALL,23,18,23.3,41,46,25.2,2000,0.0,0,3.219562,2452502.621,0.5
AP,And,11.3,-,11.9,EA,F5,ALL,23,49,30.7,45,47,21.3,2000,0.2,0,1.5872913,2452500.2116,0.5
AS,And,13.8,-,15.2,EA,,PRI,23,39,1.8,47,14,48.6,2000,0.0,0,2.4206098,2452500.1827,0.5
BD,And,11.3,-,11.7,EB,F8,ALL,23,7,5.2,50,57,30.9,2000,0.0,0,0.9258051,2452500.394,0.5
BL,And,11.15,-,0.77,EB,A0,PRI,23,11,24.3,51,52,31.3,2000,0.0,0,0.7223752,2452500.3818,0.5
BO,And,13.4,-,16.3,EA,B8,PRI,22,58,38.2,45,31,51.7,2000,0.6,0,5.79741,2452503.63,0.5
BS,And,15.3,-,17.2,EA,,pri,23,12,47.0,51,52,25.8,2000,0.4,0,3.14617,2452502.45,0.5
BX,And,8.87,-,9.53,EB,F2V,ALL,2,9,3.4,40,47,39.2,2000,0.0,0,0.6101065,2452500.362,0.5
CD,And,9.9,-,10.4,EA,F8,ALL,1,26,28.4,44,21,25.0,2000,4.1,0,68.8873,2452522.6,0.5
CN,And,9.62,-,10.21,EB,F5V,PRI,0,20,30.5,40,13,33.8,2000,0.0,0,0.4627899,2452500.123,0.5
CO,And,11.1,-,12.1,EA,F8,ALL,1,11,24.8,46,57,49.4,2000,0.3,0,3.6553351,2452503.3523,0.5
CP,And,11.4,-,12.9,EA,A5,PRI,2,12,51.2,45,37,51.6,2000,0.4,0,3.6089588,2452501.3725,0.5
CU,And,12.5,-,16.0,EA,,PRI,23,1,1.6,49,58,25.3,2000,0.3,0,1.7159792,2452501.3087,0.5
CZ,And,12.4,-,13.0,EA,A6,PRI,23,9,0.9,49,36,51.5,2000,0.2,0,2.7171947,2452502.2538,0.5
DK,And,12.5,-,13.1,EW,,ALL,23,28,45.9,50,34,29.2,2000,0.0,0,0.4892241,2452500.4716,0.5
DO,And,12.3,-,13.8,EB,,ALL,0,10,57.1,42,6,40.4,2000,0.0,0,1.348713,2452501.042,0.5
DS,And,10.44,-,10.93,EA,F2III,ALL,1,57,46.0,38,4,28.4,2000,0.2,0,1.0105197,2452500.6827,0.5
EP,And,11.3,-,0.6,EW,,PRI,1,42,29.3,44,45,42.4,2000,0.0,0,0.4041072,2452500.031,0.5
EX,And,12.7,-,14.1,EA,,ALL,23,39,51.9,47,45,2.2,2000,0.2,0,1.6324976,2452500.2678,0.5
FK,And,14.0,-,16.8,EA,,PRI,1,7,3.1,37,29,5.3,2000,0.3,0,2.2694095,2452500.782,0.5
FL,And,14.3,-,15.1,EA,,ALL,1,8,1.4,36,53,21.6,2000,0.1,0,0.9056487,2452500.61,0.5
GH,And,13.5,-,14.5,EA,,pri,23,37,40.4,50,14,33.7,2000,0.0,0,1.1037652,2452501.0055,0.5
GK,And,11.3,-,12.4,EA,,PRI,23,53,47.2,45,34,45.9,2000,0.2,0,2.009354,2452501.746,0.5
GW,And,14.6,-,17.4,EA,,PRI,0,35,9.4,41,40,3.7,2000,0.2,0,2.279282,2452501.49,0.5
GZ,And,10.83,-,11.61,EW,,ALL,2,12,14.1,44,39,34.0,2000,0.0,0,0.305016,2452500.13,0.5
HR,And,14.7,-,15.4,EA,,PRI,0,33,46.7,44,4,9.8,2000,0.1,0,1.2357289,2452500.851,0.5
HS,And,12.7,-,14.1,EA,,PRI,0,34,33.8,41,20,5.0,2000,0.2,0,1.857182,2452500.513,0.5
HU,And,16.5,-,17.2,EW,,ALL,0,39,29.7,40,4,59.8,2000,0.0,0,0.2857899,2452500.137,0.5
IL,And,15.7,-,17.0,EA,,PRI,0,46,13.5,39,46,8.3,2000,0.1,0,0.8675928,2452500.859,0.5
IP,And,16.8,-,17.3,EA,,ALL,0,55,3.4,40,37,1.3,2000,0.3,0,3.07962,2452500.06,0.5
KN,And,11.7,-,13.1,EA,,PRI,2,36,8.8,38,9,21.7,2000,0.2,0,2.2621837,2452502.253,0.5
KP,And,11.5,-,12.9,EA,A0,ALL,23,9,56.5,41,35,3.5,2000,0.3,0,1.4053913,2452500.711,0.5
LM,And,12.2,-,13.5,EB,,PRI,2,11,9.3,48,51,34.0,2000,0.0,0,0.7611824,2452500.426,0.5
LO,And,11.2,-,11.8,EW,,ALL,23,27,6.7,45,33,22.1,2000,0.0,0,0.38044,2452500.267,0.5
LY,And,14.1,-,14.8,EW,,ALL,2,21,52.5,38,37,42.4,2000,0.0,0,0.3450372,2452500.084,0.5
MN,And,15.1,-,16.2,EB,,PRI,2,22,51.1,41,55,35.1,2000,0.0,0,0.6106463,2452500.3521,0.5
MO,And,13.2,-,16.1,EA,,PRI,2,23,53.7,39,59,2.8,2000,0.3,0,1.930465,2452501.238,0.5
MS,And,15.8,-,16.5,EW,,ALL,2,25,46.9,39,58,45.5,2000,0.0,0,0.278119,2452500.137,0.5
MW,And,15.0,-,15.8,EW,,ALL,2,31,29.0,39,41,19.9,2000,0.0,0,0.26376944,2452500.113,0.5
NZ,And,14.9,-,16.3,EA,,PRI,1,23,41.3,36,28,57.1,2000,0.1,0,0.89967457,2452500.2117,0.5
OT,And,7.32,-,7.72,EA,,PRI,23,20,1.2,41,45,17.5,2000,0.6,0,20.852948,2452509.7929,0.5
OT,And,7.32,-,7.72,EA,,SEC,23,20,1.2,41,45,17.5,2000,0.6,0,20.852988,2452520.6707,0.5
PP,And,14.3,-,16.6,EA,,PRI,2,10,42.5,38,18,31.5,2000,0.4,0,2.71651,2452502.43,0.5
PX,And,14.04,-,17.0,E+NL,pec UG,PRI,0,30,5.9,26,17,26.9,2000,0.0,0,0.14635273,2452500.1615,0.5
QR,And,12.16,-,13.07,EA+NL,pec e,PRI,0,19,49.9,21,56,52.1,2000,0.0,0,0.660469,2452500.243,0.5
QW,And,12.6,-,0.45,EW,,ALL,1,18,48.3,49,39,36.8,2000,0.0,0,0.4918697,2452500.473,0.5
QX,And,11.28,-,11.5,EW,F6,ALL,1,57,57.8,37,48,22.5,2000,0.0,0,0.41217208,2452500.024,0.5
V348,And,6.75,-,6.9,EA,B9,PRI,0,15,17.8,44,12,12.2,2000,0.0,0,5.54071,2452504.6,0.5
V348,And,6.75,-,6.9,EA,B9,SEC,0,15,17.8,44,12,12.2,2000,0.0,0,5.54069,2452507.18,0.5
V355,And,7.69,-,8.0,EA,F5,ALL,0,44,11.3,46,14,8.0,2000,0.0,0,4.71838,2452502.68,0.5
V363,And,9.1,-,9.37,EB,A2,ALL,1,31,46.6,36,5,38.0,2000,0.0,0,1.2779742,2452500.4521,0.5
V372,And,9.05,-,9.53,EA,A5,ALL,2,5,18.2,45,5,34.1,2000,0.3,0,2.941022,2452501.19,0.5
V389,And,8.22,-,8.32,EA,A0,SEC,23,32,1.3,43,49,20.5,2000,0.0,0,25.778324,2452530.441,0.5
V389,And,8.22,-,8.32,EA,A0,PRI,23,32,1.3,43,49,20.5,2000,0.0,0,25.778273,2452517.2919,0.5
V392,And,9.07,-,9.41,EA,A2,ALL,23,38,48.7,44,24,45.3,2000,0.2,0,4.04627,2452502.198,0.5
V404,And,10.3,-,10.9,EA/RS,,ALL,1,1,24.4,41,15,0.7,2000,0.1,0,0.6760343,2452500.317,0.5
V406,And,9.22,-,9.42,EB,B8,ALL,2,35,25.6,45,56,3.1,2000,0.0,0,2.165027,2452500.268,0.5
V412,And,11.95,-,12.4,EA,,ALL,23,53,39.0,45,37,22.1,2000,0.2,0,1.9087364,2452501.2211,0.5
V422,And,13.4,-,14.0,EB,,ALL,23,7,57.1,50,11,43.9,2000,0.0,0,1.0155845,2452500.532,0.5
V425,And,13.3,-,14.6,EA,,PRI,23,27,37.3,50,17,16.2,2000,0.2,0,1.4207299,2452500.7989,0.5
V440,And,12.64,-,13.24,EA,,ALL,0,26,49.5,41,49,8.6,2000,0.1,0,1.5825573,2452501.3218,0.5
V441,And,13.48,-,14.25,EW,,ALL,0,56,44.2,41,29,22.8,2000,0.0,0,0.4696546,2452500.291,0.5
V444,And,13.04,-,13.74,EW,,ALL,1,15,28.7,41,19,59.0,2000,0.0,0,0.4687796,2452500.3543,0.5
V449,And,12.2,-,12.9,EW,,ALL,2,9,46.8,46,43,17.3,2000,0.0,0,0.3385145,2452500.184,0.5
V452,And,13.7,-,15.2,EB,,ALL,23,18,59.2,48,31,30.1,2000,0.0,0,0.97843773,2452500.1753,0.5
V463,And,12.15,-,13.05,EB,,ALL,23,20,13.9,37,8,39.7,2000,0.0,0,0.4061053,2452500.155,0.5
V473,And,13.37,-,13.83,EW,,ALL,0,16,5.4,41,51,24.1,2000,0.0,0,0.4012971,2452500.407,0.5
V477,And,13.25,-,13.64,EW,,ALL,0,18,31.3,30,25,57.6,2000,0.0,0,0.3626492,2452500.268,0.5
V483,And,11.97,-,12.2,EW,,ALL,0,20,35.3,40,4,16.8,2000,0.0,0,0.2970581,2452500.072,0.5
V488,And,12.55,-,12.9,EB,,ALL,0,22,6.0,40,31,24.2,2000,0.0,0,0.6821921,2452500.315,0.5
V490,And,14.6,-,15.1,EW,,ALL,0,26,48.8,41,50,4.1,2000,0.0,0,0.42418347,2452500.307,0.5
V506,And,13.34,-,14.17,EW,,ALL,0,46,37.8,31,51,17.3,2000,0.0,0,0.3434523,2452500.08,0.5
V512,And,11.8,-,12.5,EA,,ALL,0,52,17.3,35,16,4.2,2000,0.1,0,0.7453311,2452500.129,0.5
V522,And,13.34,-,13.94,EA,,PRI,1,3,28.9,43,1,27.6,2000,0.2,0,7.5529452,2452502.9511,0.5
V522,And,13.34,-,13.94,EA,,SEC,1,3,28.9,43,1,27.6,2000,0.2,0,7.5529785,2452506.6061,0.5
V523,And,11.9,-,12.4,EA,,PRI,1,5,38.0,36,49,5.9,2000,0.1,0,0.5285401,2452500.421,0.5
V527,And,10.65,-,11.05,EW,,ALL,1,22,35.7,34,19,35.9,2000,0.0,0,0.7006563,2452500.414,0.5
V530,And,12.6,-,13.3,EB,,ALL,1,27,41.0,33,51,55.5,2000,0.0,0,0.5772395,2452500.191,0.5
V537,And,11.4,-,11.75,EA,,ALL,1,35,19.3,37,46,37.7,2000,0.1,0,0.9008487,2452500.1468,0.5
V546,And,11.23,-,11.76,EW,,ALL,1,51,12.6,43,49,7.6,2000,0.0,0,0.3830155,2452500.26,0.5
V552,And,16.89,-,17.55,EW,,PRI,1,57,39.9,43,55,3.7,2000,0.0,0,0.281322,2452500.0635,0.5
V556,And,14.55,-,14.8,EW,,PRI,1,58,47.8,44,33,4.9,2000,0.0,0,0.4314,2452500.3,0.5
V566,And,10.85,-,11.3,EW,,ALL,2,7,20.0,35,38,55.4,2000,0.0,0,0.3896996,2452500.27,0.5
V613,And,9.15,-,9.61,EA,A5,ALL,23,10,12.4,47,34,14.2,2000,0.3,0,1.875793,2452500.615,0.5
V674,And,10.65,-,10.9,EA,,PRI,23,32,41.3,46,47,57.5,2000,0.3,0,2.8486425,2452500.074,0.5
V674,And,10.65,-,10.9,EA,,SEC,23,32,41.3,46,47,57.5,2000,0.3,0,2.8486425,2452501.6353,0.5
V707,And,9.93,-,10.42,EA,F5V,ALL,23,48,23.6,36,18,40.3,2000,0.0,0,2.58855,2452502.205,0.5
V712,And,10.27,-,10.53,EW,G0V,ALL,23,54,39.2,36,45,15.9,2000,0.0,0,0.3671811,2452500.224,0.5
V745,And,12.22,-,13.14,EB,,ALL,1,32,27.6,41,36,33.6,2000,0.0,0,0.32348447,2452500.2531,0.5
S,Ant,6.27,-,6.83,EW,F3V,ALL,9,32,18.4,-28,37,40.0,2000,0.0,0,0.6483516,2452500.069,0.5
SW,Ant,13.1,-,13.9,EW,,all,9,48,27.5,-25,11,25.6,2000,0.0,0,0.38020634,2452500.1904,0.5
UU,Ant,11.94,-,12.4,EA,,PRI,9,46,52.5,-26,42,45.2,2000,0.2,0,1.3641017,2452500.6533,0.5
VW,Ant,11.2,-,12.8,EB,,ALL,9,29,5.2,-39,33,38.4,2000,0.0,0,1.0840184,2452500.966,0.5
WX,Ant,11.25,-,12.95,EA,,ALL,10,31,5.3,-35,58,26.6,2000,0.6,0,3.81711,2452502.902,0.5
WZ,Ant,11.7,-,12.1,EW,,all,10,6,22.5,-38,52,53.8,2000,0.0,0,0.44592421,2452500.393,0.5
XX,Ant,8.6,-,9.23,EA,A8/F0V,ALL,9,49,24.7,-38,20,57.3,2000,0.2,0,0.8880136,2452500.4662,0.5
XY,Ant,9.95,-,10.65,EA,,ALL,10,18,12.2,-36,48,18.6,2000,0.2,0,2.1803432,2452501.2963,0.5
XZ,Ant,9.65,-,10.75,EA,,ALL,10,18,27.6,-33,16,32.6,2000,0.9,0,7.15068,2452500.32,0.5
YZ,Ant,10.48,-,11.54,EA,A1IV,ALL,10,17,33.8,-32,28,9.6,2000,0.3,0,2.152431,2452500.23,0.5
BV,Ant,11.5,-,12.34,EA,,PRI,11,1,25.5,-37,10,18.1,2000,0.3,0,3.5943157,2452502.4017,0.5
BV,Ant,11.5,-,12.34,EA,,SEC,11,1,25.5,-37,10,18.1,2000,0.3,0,3.594285,2452504.448,0.5
CC,Ant,7.68,-,7.87,EA,A8III,ALL,10,33,29.4,-36,3,57.6,2000,0.3,0,2.4451866,2452501.0922,0.5
SY,Aps,12.7,-,13.3,EW,,ALL,14,39,24.3,-72,49,35.5,2000,0.0,0,0.27890788,2452500.0936,0.5
AF,Aps,13.4,-,14.1,EW,,PRI,15,31,17.0,-78,20,42.8,2000,0.0,0,0.79762427,2452500.2779,0.5
AN,Aps,12.5,-,13.6,EB,,ALL,15,41,16.3,-73,57,44.2,2000,0.0,0,1.045548,2452500.91,0.5
BB,Aps,12.1,-,12.9,EB,,ALL,15,58,40.7,-77,52,16.2,2000,0.0,0,2.533245,2452501.6863,0.5
BH,Aps,11.3,-,13.5,EA,,PRI,16,8,40.2,-76,50,27.9,2000,0.4,0,3.6507409,2452503.2408,0.5
CD,Aps,11.45,-,12.15,EA,,ALL,16,35,29.9,-80,45,42.1,2000,0.2,0,3.301602,2452500.2,0.5
DU,Aps,11.5,-,12.2,EA,,ALL,17,25,46.0,-78,23,25.6,2000,0.4,0,3.087761,2452500.66,0.5
DW,Aps,8.86,-,9.96,EA,B6III,ALL,17,23,30.0,-67,55,44.9,2000,0.3,0,2.3129452,2452501.979,0.5
FN,Aps,11.07,-,12.6,EA,,PRI,15,51,33.3,-72,22,22.3,2000,0.5,0,5.73071,2452504.26,0.5
FY,Aps,10.63,-,11.81,EA,,ALL,17,14,20.2,-70,0,48.3,2000,0.5,0,2.749758,2452502.72,0.5
HL,Aps,12.5,-,13.2,EB,,ALL,16,7,52.4,-79,49,33.1,2000,0.0,0,0.95626492,2452500.081,0.5
II,Aps,10.9,-,11.54,EB,,ALL,16,27,41.9,-74,50,44.3,2000,0.0,0,0.8422542,2452500.21,0.5
LO,Aps,11.18,-,11.85,EB,,ALL,17,47,10.2,-77,37,19.7,2000,0.0,0,1.331202,2452501.167,0.5
MR,Aps,10.58,-,11.09,EB,,ALL,17,7,57.5,-73,43,35.4,2000,0.0,0,0.52786405,2452500.0832,0.5
NT,Aps,8.2,-,8.7,EW,G3/G5V,ALL,14,42,42.6,-74,18,41.6,2000,0.0,0,0.2947628,2452500.186,0.5
NW,Aps,9.1,-,9.39,EB,F5IV/V,ALL,14,55,38.5,-79,48,20.6,2000,0.0,0,1.0655527,2452500.735,0.5
OR,Aps,9.11,-,9.22,LPB,B7III,ALL,16,16,32.3,-78,8,0.1,2000,0.0,0,2.4446378,2452501.5525,0.5
PP,Aps,9.7,-,9.99,EA,A3mA5-A8,PRI,17,43,4.7,-70,52,21.6,2000,0.4,0,4.2798507,2452500.6665,0.5
PP,Aps,9.7,-,9.99,EA,A3mA5-A8,SEC,17,43,4.7,-70,52,21.6,2000,0.4,0,4.2798197,2452502.7186,0.5
PV,Aps,7.8,-,8.3,EA,A9III/IV,PRI,15,11,28.5,-73,25,34.1,2000,0.6,0,28.877522,2452525.1698,0.5
PV,Aps,7.8,-,8.3,EA,A9III/IV,SEC,15,11,28.5,-73,25,34.1,2000,0.6,0,28.877318,2452532.4864,0.5
RY,Aqr,8.82,-,10.21,EA,A3,PRI,21,20,16.0,-10,48,8.1,2000,0.2,0,1.9665636,2452500.027,0.5
ST,Aqr,9.15,-,9.67,EB,A7 +G8IV,ALL,22,21,1.9,-6,57,51.4,2000,0.0,0,0.7809886,2452500.585,0.5
SU,Aqr,9.67,-,10.28,EA,A5V,PRI,22,52,3.9,-12,56,43.6,2000,0.2,0,1.0446946,2452500.727,0.5
UU,Aqr,12.85,-,15.5,EA+NL,pec e,PRI,22,9,5.7,-3,46,17.5,2000,0.0,0,0.1635804,2452500.0188,0.5
XZ,Aqr,11.8,-,13.6,EA,,PRI,22,5,0.8,-8,49,39.9,2000,0.2,0,2.05923,2452500.81,0.5
AM,Aqr,12.8,-,13.6,EW,,PRI,22,11,7.4,-19,31,33.1,2000,0.0,0,0.37373869,2452500.2339,0.5
AO,Aqr,11.04,-,11.67,EW,F,ALL,22,11,31.9,-22,47,16.5,2000,0.0,0,0.4893502,2452500.316,0.5
AT,Aqr,13.1,-,14.0,EW,,ALL,22,20,17.8,-20,6,50.1,2000,0.0,0,0.3040946,2452500.168,0.5
AY,Aqr,13.4,-,14.4,EW,,ALL,22,26,52.1,-19,25,10.6,2000,0.0,0,0.2819961,2452500.04,0.5
BQ,Aqr,10.7,-,11.5,EA,,all,23,36,8.9,-16,28,8.3,2000,0.7,0,6.62048,2452501.13,0.5
BW,Aqr,10.31,-,10.92,EA,F8IV+F7IV,PRI,22,23,15.9,-15,19,56.2,2000,0.3,0,6.7197,2452501.709,0.5
BW,Aqr,10.31,-,10.92,EA,F8IV+F7IV,SEC,22,23,15.9,-15,19,56.2,2000,0.3,0,6.719688,2452504.904,0.5
BX,Aqr,12.0,-,13.5,EA,,PRI,20,51,43.1,-11,5,29.9,2000,0.2,0,1.5296063,2452501.1191,0.5
CD,Aqr,10.8,-,11.7,EA,A5,PRI,21,19,59.4,-4,6,32.1,2000,0.6,0,4.8378237,2452501.4836,0.5
CK,Aqr,12.86,-,13.47,EW,,ALL,21,1,2.3,-11,4,26.7,2000,0.0,0,0.28337224,2452500.031,0.5
CR,Aqr,13.2,-,14.2,EB,,ALL,21,11,13.9,-13,59,14.4,2000,0.0,0,0.5144902,2452500.415,0.5
CW,Aqr,10.62,-,11.09,EB,,ALL,22,19,22.3,-16,53,33.4,2000,0.0,0,0.5429092,2452500.282,0.5
CX,Aqr,10.55,-,11.8,EB,F2p,ALL,22,35,43.9,0,41,32.7,2000,0.1,0,0.5559873,2452500.434,0.5
CZ,Aqr,10.7,-,12.08,EA,A7V,PRI,23,22,20.6,-15,56,20.6,2000,0.2,0,0.8627494,2452500.2357,0.5
DD,Aqr,10.63,-,11.32,EB,A5p,PRI,22,45,53.3,1,2,58.8,2000,0.0,0,0.7210085,2452500.727,0.5
DV,Aqr,5.89,-,6.25,EB,A9IV,ALL,20,58,41.8,-14,28,59.3,2000,0.0,0,1.575528,2452500.208,0.5
DX,Aqr,6.43,-,6.88,EA,A2V,ALL,22,2,26.3,-16,57,53.4,2000,0.1,0,0.945011,2452500.6907,0.5
DY,Aqr,10.23,-,10.95,EA,A0,PRI,22,19,4.3,-2,38,30.0,2000,0.3,0,2.159696,2452500.282,0.5
EE,Aqr,7.91,-,8.55,EB,F0V,ALL,22,34,42.0,-19,51,35.3,2000,0.0,0,0.50899631,2452500.0557,0.5
EF,Aqr,9.88,-,10.5,EA,G1V,ALL,23,1,19.1,-6,26,15.4,2000,0.2,0,2.8535697,2452502.3549,0.5
EI,Aqr,11.5,-,12.2,EA,,PRI,21,29,20.3,-6,59,0.0,2000,0.1,0,1.222312,2452501.129,0.5
EK,Aqr,10.8,-,11.33,EW,,ALL,23,39,16.2,-9,9,5.3,2000,0.0,0,0.6127974,2452500.065,0.5
EL,Aqr,10.35,-,10.75,EW,F3V,ALL,23,47,18.4,-8,5,12.1,2000,0.0,0,0.481417,2452500.087,0.5
EX,Aqr,11.6,-,12.3,EB,,ALL,21,15,14.8,2,28,45.0,2000,0.0,0,0.8893864,2452500.4721,0.5
FO,Aqr,12.7,-,14.2,XM,pec e,pri,22,17,55.3,-8,21,4.6,2000,0.0,0,0.2020593,2452500.126,0.5
FS,Aqr,12.5,-,13.3,EW,,ALL,22,5,43.1,0,23,45.7,2000,0.0,0,0.26205036,2452500.25,0.5
FW,Aqr,12.95,-,14.4,EA,,PRI,22,12,4.1,-9,43,25.7,2000,0.6,0,4.8864237,2452501.0978,0.5
FZ,Aqr,14.5,-,14.8,EW,,all,22,17,8.3,-6,5,47.2,2000,0.0,0,0.679112,2452500.03,0.5
GH,Aqr,12.6,-,13.1,EW,,ALL,22,19,54.2,-5,1,49.4,2000,0.0,0,0.3055844,2452500.249,0.5
GK,Aqr,12.0,-,12.9,EW,,ALL,22,19,56.9,0,39,46.9,2000,0.0,0,0.3274194,2452500.268,0.5
GM,Aqr,13.4,-,14.4,EW,,ALL,22,21,57.9,-2,40,2.8,2000,0.0,0,0.3672784,2452500.43,0.5
GN,Aqr,11.72,-,12.16,EA,,ALL,22,22,18.7,-4,12,22.6,2000,0.2,0,4.4044288,2452500.2891,0.5
GS,Aqr,13.1,-,13.6,EW,,ALL,22,27,33.6,0,17,17.6,2000,0.0,0,0.37406776,2452500.1467,0.5
GV,Aqr,12.8,-,13.6,DSCT,,ALL,22,30,2.8,-8,6,26.6,2000,0.1,0,0.3367945,2452500.14,0.5
GZ,Aqr,14.6,-,15.5,EW,,ALL,22,40,58.2,-7,33,3.6,2000,0.0,0,0.3028105,2452500.223,0.5
HS,Aqr,9.07,-,9.5,EA,F8V+G,PRI,20,40,54.0,0,35,50.7,2000,0.1,0,0.710186,2452500.699,0.5
HV,Aqr,9.74,-,10.21,EW/RS,,ALL,21,21,24.8,-3,9,36.9,2000,0.0,0,0.3744568,2452500.218,0.5
IO,Aqr,8.8,-,9.22,EA,G0,PRI,20,40,45.5,0,56,21.0,2000,0.3,0,2.368136,2452502.027,0.5
KX,Aqr,8.11,-,8.58,EA,F8/G0V,ALL,22,31,13.4,-22,59,47.7,2000,0.2,0,2.07434,2452500.845,0.5
LL,Aqr,9.23,-,9.86,EA,G0,PRI,22,34,42.2,-3,35,58.2,2000,0.0,0,20.17831,2452515.728,0.5
LL,Aqr,9.23,-,9.86,EA,G0,SEC,22,34,42.2,-3,35,58.2,2000,0.0,0,20.178593,2452522.0952,0.5
MO,Aqr,9.95,-,10.28,EW,,ALL,21,3,57.0,-2,10,3.8,2000,0.0,0,0.39814346,2452500.1262,0.5
MU,Aqr,11.11,-,11.63,EW,,ALL,20,48,13.3,-1,29,25.7,2000,0.0,0,0.2722216,2452500.161,0.5
NN,Aqr,13.47,-,14.14,EW,,ALL,21,43,54.0,0,13,40.9,2000,0.0,0,0.30677875,2452500.0582,0.5
NW,Aqr,13.3,-,14.2,EW,,ALL,22,49,43.0,0,46,1.3,2000,0.0,0,0.3016302,2452500.271,0.5
OO,Aqr,9.2,-,9.63,EW,A5IV/V,ALL,20,49,43.2,-13,7,35.6,2000,0.0,0,0.5866273,2452500.23,0.5
XZ,Aql,10.07,-,11.65,EA,A2,ALL,20,22,13.4,-7,21,3.5,2000,0.3,0,2.1391944,2452501.11,0.5
YZ,Aql,10.7,-,14.2,EA,A2III,PRI,19,16,46.2,0,36,17.2,2000,0.7,0,4.67269,2452501.54,0.5
AL,Aql,10.77,-,12.6,EA,,all,19,2,24.4,-8,33,9.8,2000,1.7,0,20.98634,2452503.92,0.5
DO,Aql,8.7,-,18.8,NB+EA,pec Nova,pri,19,31,25.8,-6,25,38.6,2000,0.0,0,0.16776181,2452500.0494,0.5
FK,Aql,10.8,-,13.4,EA,B9,PRI,19,4,18.6,2,46,47.3,2000,0.3,0,2.650876,2452501.05,0.5
GU,Aql,14.6,-,15.7,EA,,PRI,19,37,2.6,6,7,19.7,2000,0.2,0,2.209176,2452501.07,0.5
HY,Aql,12.8,-,15.6,EA,,pri,19,2,47.6,-6,13,33.2,2000,0.9,0,8.36087,2452506.67,0.5
KO,Aql,8.33,-,9.43,EA,A0V-A3V,PRI,18,47,10.7,10,45,49.3,2000,0.3,0,2.8640849,2452501.7085,0.5
KP,Aql,9.44,-,10.14,EA,F0+F0,ALL,19,2,30.0,15,48,1.1,2000,0.2,0,3.367477,2452502.565,0.5
LT,Aql,12.4,-,14.9,EA,B9III/IV,PRI,19,38,49.8,6,34,59.2,2000,0.2,0,1.846208,2452500.208,0.5
OO,Aql,9.35,-,10.35,EW,G5V,ALL,19,48,12.6,9,18,32.4,2000,0.0,0,0.5067931,2452500.258,0.5
OP,Aql,12.2,-,14.6,EA,B9,PRI,19,48,8.3,9,20,45.2,2000,0.3,0,3.227834,2452503.169,0.5
QS,Aql,5.93,-,6.06,EA,B5V,ALL,19,41,5.5,13,48,56.5,2000,0.4,0,2.5133029,2452502.3465,0.5
QY,Aql,10.9,-,14.2,EA,F0,PRI,20,9,28.8,15,18,44.7,2000,0.9,0,7.229447,2452505.084,0.5
V337,Aql,8.59,-,9.33,EB,B0.5Vp+B2V,ALL,19,4,10.3,-2,1,47.3,2000,0.0,0,2.733876,2452500.314,0.5
V340,Aql,12.02,-,13.9,EA,F,PRI,19,55,56.5,15,51,7.7,2000,0.4,0,3.749065,2452503.2,0.5
V342,Aql,9.5,-,12.9,EA,A4II,PRI,19,17,3.5,9,20,38.6,2000,0.5,0,3.390899,2452502.143,0.5
V343,Aql,10.42,-,12.06,EA,A0V,PRI,19,38,35.2,12,45,27.3,2000,0.3,0,1.8445697,2452500.7926,0.5
V346,Aql,8.84,-,10.26,EA,A0V,PRI,20,9,59.6,10,20,59.8,2000,0.2,0,1.1063614,2452500.741,0.5
